,0
0,0.10680473181900474
1,0.44163046487392543
2,0.5434509178305513
3,0.720492438748757
4,0.2347201750351302
5,0.6817091768742233
6,0.4911858657560523
7,0.9266343204960988
8,0.7424477989429628
9,0.534891826441701
10,0.5077799183534942
11,0.9997727185853296
12,0.14713077612144865
13,0.7867579591957108
14,0.45147357310479486
15,0.7112883135237742
16,0.7779320584838667
17,0.7156940646075574
18,0.44928768351067183
19,0.3018120635254482
20,0.23183487218537668
21,0.3853447680925558
22,0.175571948034015
23,0.8695939589922621
24,0.7748406365082613
25,0.9457099871058647
26,0.48156747149428847
27,0.7662047541685288
28,0.30990262565416926
29,0.5193357164829834
30,0.4383013772974229
31,0.24464659149056123
32,0.8239545607466392
33,0.07010053997716015
34,0.44266957944100216
35,0.516723052996397
36,0.6090131633826966
37,0.017831103029842144
38,0.8013647496045239
39,0.31132017621530106
40,0.6776349047869106
41,0.18675511145912038
42,0.4027605272700421
43,0.7894930132371456
44,0.34987099990288517
45,0.4992838329505406
46,0.19954356543029383
47,0.0900276445349878
48,0.03196842882145878
49,0.6847018425079441
50,0.32858509592934626
51,0.5234124719619089
52,0.06072676211078343
53,0.8930757659656137
54,0.14580880747687064
55,0.21588310933904165
56,0.7697414420085721
57,0.09859225247688219
58,0.15768170432941198
59,0.3155792475266306
60,0.2989731261888976
61,0.6760898410428197
62,0.11020347388542984
63,0.8181833261605134
64,0.9324655277432385
65,0.5054148335052364
66,0.2396805361537263
67,0.21359952131210103
68,0.22135881960187953
69,0.4800066499694371
70,0.5593105987315561
71,0.5350828990735997
72,0.7449162598687016
73,0.86483071086353
74,0.7227254073309245
75,0.2469199798946361
76,0.33820356699417553
77,0.19755588685455416
78,0.4189849736892878
79,0.7074412237642007
80,0.5956475542025835
81,0.2967068923739703
82,0.1132042661171454
83,0.4508504661207041
84,0.4129909248931394
85,0.14576044179518688
86,0.8310060356583566
87,0.8576571033553133
88,0.16851018083733382
89,0.9833808589874841
90,0.944492300506008
91,0.12488386123353767
92,0.7516356903452927
93,0.8494843053405553
94,0.8980385866981675
95,0.12714801687772292
96,0.7082740317414836
97,0.8534016323895781
98,0.16391322138355846
99,0.5134117240229437
100,0.965055764223074
101,0.3400198455698592
102,0.9732209948879801
103,0.10184392884356241
104,0.44731494496206303
105,0.4179370472601621
106,0.26641946567864816
107,0.3415238293753834
108,0.8223214433890432
109,0.9541164838308572
110,0.6471162234324506
111,0.7367460420400602
112,0.9204310870539276
113,0.7747331174763332
114,0.8147511622039795
115,0.8579459005196917
116,0.17044655945838105
117,0.37540785805946286
118,0.8336668650991842
119,0.42509950804120467
120,0.8020237786041118
121,0.6850411892520133
122,0.8601727680387721
123,0.7028220087016022
124,0.19456225977987807
125,0.26052672400739385
126,0.7650385485985175
127,0.07416909931060711
128,0.22533069248566606
129,0.9048127023454382
130,0.82686893985984
131,0.8786198222527446
132,0.8627124601465295
133,0.9670454283177264
134,0.6122523966887417
135,0.47462816987941925
136,0.923297140352139
137,0.9544718252814426
138,0.7858085370135435
139,0.5565008501582442
140,0.6652811222614015
141,0.542205153085434
142,0.10576421549814696
143,0.053267751847797196
144,0.880112786145811
145,0.907800154655514
146,0.30885994744375567
147,0.2973419822392044
148,0.31217827641621354
149,0.6257886600182034
150,0.6504887961328168
151,0.5622120155757478
152,0.5724850495827091
153,0.9125234053528397
154,0.8446312864508262
155,0.21527961490956626
156,0.28680990431019604
157,0.5930679418991147
158,0.808454057519647
159,0.32246152881419565
160,0.9730886869052752
161,0.27547385426896676
162,0.5873290221301856
163,0.7573079548130032
164,0.4208459647156215
165,0.6745870510984826
166,0.27698916502242366
167,0.18470482528531407
168,0.4854880784332479
169,0.9011628388673404
170,0.04714141041365927
171,0.23906747596541367
172,0.09649430617771515
173,0.05937470289657265
174,0.032987689848949286
175,0.4523806161067696
176,0.8148533334733025
177,0.7618960525211036
178,0.5771254563510211
179,0.7534507514825577
180,0.39796527941473914
181,0.10315838770817254
182,0.09677080907771785
183,0.6231231599696262
184,0.35060365128301174
185,0.7898570726319298
186,0.0051427120639429
187,0.23870253033170197
188,0.2302538808293233
189,0.15216786013903172
190,0.37365877043275997
191,0.7602965484070645
192,0.9054698116181283
193,0.3877929695141398
194,0.3498075030163247
195,0.45932548529822104
196,0.6562737870134692
197,0.3003229165565381
198,0.6151665413043659
199,0.20283794666786514
200,0.12862235927029075
201,0.3000939010732937
202,0.522634920417891
203,0.12318545155486471
204,0.056066035671674674
205,0.6979019325079844
206,0.8663313365059186
207,0.2749304729529273
208,0.09001199081301448
209,0.8987299973787252
210,0.9162531920725522
211,0.5528127204855964
212,0.9097883362508788
213,0.06203050921770037
214,0.16065801779207967
215,0.38620609395000316
216,0.7183895368956045
217,0.7806827481345798
218,0.13702817702856662
219,0.7143438274889514
220,0.6551321253000068
221,0.1099107844697278
222,0.22790440831840786
223,0.4868143736734156
224,0.6038718584231528
225,0.6078352672652994
226,0.5442464435268697
227,0.7513463638176483
228,0.8986448906583304
229,0.31630998731609516
230,0.31474725291808625
231,0.9008544786410946
232,0.4765003069759991
233,0.13018754203334904
234,0.5901100900438573
235,0.21227702545127491
236,0.136087040609145
237,0.23595999023545788
238,0.18818860572537965
239,0.7833488641930043
240,0.17051060438404309
241,0.47844847215547603
242,0.44082002245707286
243,0.7396278358207461
244,0.8297152498290026
245,0.5702686459189701
246,0.6033666174602859
247,0.25758748947902876
248,0.8803337252632912
249,0.14528312502158458
250,0.7011615461267606
251,0.2373627781516905
252,0.6410898158742688
253,0.472137288491426
254,0.06443434262796743
255,0.4937237580628887
256,0.6984542431895621
257,0.5690021914339318
258,0.4618170838210981
259,0.6845004190458238
260,0.9150171781815952
261,0.9294751870391951
262,0.9561969397904628
263,0.7559972551820682
264,0.022530836224025852
265,0.47426173529768356
266,0.752170231552473
267,0.6729564724387789
268,0.9666947948871685
269,0.54012493721855
270,0.6687494868585507
271,0.9455717673943435
272,0.15494395035674446
273,0.4186211827652857
274,0.5703458209586175
275,0.013260643113983117
276,0.4276204301042048
277,0.1573278392823112
278,0.38409757691882906
279,0.7687931740776905
280,0.7852193247785592
281,0.6959607470002711
282,0.3014019931921743
283,0.3766953589918709
284,0.814265869643672
285,0.7321375838884343
286,0.7785015232065603
287,0.7295082847901443
288,0.6498059346190465
289,0.4759968230798244
290,0.25077228580876576
291,0.9250174312072544
292,0.5638242081485241
293,0.7149267665458244
294,0.4675415374657741
295,0.26496190064142455
296,0.7993667546918041
297,0.7799997377049599
298,0.4406536949798112
299,0.7035444089650121
300,0.8162349560188918
301,0.26697629377588783
302,0.10168909887042654
303,0.8246034601858917
304,0.4925432483721669
305,0.39932122390604685
306,0.0028522210345960364
307,0.2525257647475174
308,0.4825774514049279
309,0.7791950809907914
310,0.44896540040111854
311,0.19558033612968606
312,0.25600687979611214
313,0.54325221006602
314,0.5793816713815462
315,0.2633595234342211
316,0.8621597203660593
317,0.2542990975729875
318,0.42608211002687035
319,0.13845449605657145
320,0.9846353764462276
321,0.38306162691910073
322,0.5458182852588483
323,0.9875956018785222
324,0.9165301649275531
325,0.18168444807207795
326,0.4671269619524846
327,0.8851420319748324
328,0.24829269182890978
329,0.41533991511289514
330,0.3546258632367951
331,0.0745635554739964
332,0.613193102124239
333,0.1349787872324235
334,0.3378634131820446
335,0.1410483850146067
336,0.22025211498433128
337,0.7573455141858604
338,0.10527503970711061
339,0.05927734254468864
340,0.28731081370338807
341,0.42816331589099166
342,0.4140544839723934
343,0.03876956575622503
344,0.03844173094843584
345,0.4896450047799684
346,0.9335513820213363
347,0.0448640480774376
348,0.13066330640718093
349,0.6547536459059465
350,0.39817181734661866
351,0.23666066053030044
352,0.6667008019862208
353,0.03269166309478999
354,0.8518610341480672
355,0.515001822637094
356,0.40836400000820905
357,0.3410579164868478
358,0.2708836049138468
359,0.8219533657654938
360,0.04381382735113959
361,0.08679355858661864
362,0.5339793638882108
363,0.3728361735324037
364,0.7925902325510358
365,0.25441486741052854
366,0.6263838988853788
367,0.13916833555461705
368,0.19737394970596767
369,0.2769864880860742
370,0.3656824464332338
371,0.6610887357310022
372,0.5192679392115136
373,0.8806522059874995
374,0.4232032130402087
375,0.2200035822049482
376,0.714327359540566
377,0.9492036314115726
378,0.7003822933716198
379,0.655665292150758
380,0.4988846070250762
381,0.06297865175386685
382,0.9162064830652155
383,0.007726324853617683
384,0.23174048129019298
385,0.8639324050103456
386,0.6356736755451454
387,0.25189856607311245
388,0.7825214598777765
389,0.1299629027055763
390,0.10555330304346877
391,0.7445577612772151
392,0.6191362384783652
393,0.33478629323738107
394,0.4183078421108759
395,0.4944477724558206
396,0.594792423914339
397,0.5322107558948607
398,0.8523249854989648
399,0.12574938609055064
400,0.9028860877743807
401,0.2528524317433286
402,0.632482638273793
403,0.40753559582958276
404,0.9479107822457673
405,0.49140965243165646
406,0.10007009851111759
407,0.5273724698869194
408,0.7095390172572242
